Source,Target,Association
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/HQSB1.Assembly_Districts.AREA,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/DATA,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/DISTRICT,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/NAME,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/POP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Rep,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/RepUpdate,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Offshore,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Shape__Area,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Shape__Length,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/4,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/District,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/Shape__Area,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/Shape__Length,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/5,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/District,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/Shape__Area,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/Shape__Length,esri.arcgis.custom.LayerContainsField
arcgis/SB1,arcgis/SB1/BuildingCA_Reference,esri.arcgis.custom.FolderToMapServer
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/0,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/City,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/CityCode,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/County,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/CountyCode,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/Lon_Centroid,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/Lat_Centroid,esri.arcgis.custom.LayerContainsField
