core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/Hospital_Heliports/0/AGL_M,AGL_M,,,,FALSE,esriFieldTypeDouble,AGL_M,,,True,AGL_M,True,9
arcgis/CHaviation/Hospital_Heliports/0/PMTLAT,PMTLAT,,,,FALSE,esriFieldTypeString,PMTLAT,,,True,PMTLAT,True,10
arcgis/CHaviation/Hospital_Heliports/0/PMTLONG,PMTLONG,,,,FALSE,esriFieldTypeString,PMTLONG,,,True,PMTLONG,True,11
arcgis/CHaviation/Hospital_Heliports/0/LATDMS,LATDMS,,,,FALSE,esriFieldTypeString,LATDMS,,,True,LATDMS,True,12
arcgis/CHaviation/Hospital_Heliports/0/LONGDMS,LONGDMS,,,,FALSE,esriFieldTypeString,LONGDMS,,,True,LONGDMS,True,13
arcgis/CHaviation/Hospital_Heliports/0/LATDMS_D,LATDMS_D,,,,FALSE,esriFieldTypeDouble,LATDMS_D,,,True,LATDMS_D,True,14
arcgis/CHaviation/Hospital_Heliports/0/LONGDMS_D,LONGDMS_D,,,,FALSE,esriFieldTypeDouble,LONGDMS_D,,,True,LONGDMS_D,True,15
arcgis/CHaviation/Hospital_Heliports/0/URL,URL,,,,FALSE,esriFieldTypeString,URL,,,True,URL,True,16
arcgis/CHaviation/Hospital_Heliports/0/FILE_NAME,FILE_NAME,,,,FALSE,esriFieldTypeString,FILE_NAME,,,True,FILE_NAME,True,17
arcgis/CHaviation/Hospital_Heliports/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,,,,1
arcgis/CHaviation/Hospital_Heliports/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,,,,2
arcgis/CHaviation/Hospital_Heliports/0/MAPLABEL,MAPLABEL,,,,FALSE,esriFieldTypeString,MAPLABEL,,,,,,3
arcgis/CHaviation/Hospital_Heliports/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,,,,4
arcgis/CHaviation/Hospital_Heliports/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,,,,5
arcgis/CHaviation/Hospital_Heliports/0/FAACODE,FAACODE,,,,FALSE,esriFieldTypeString,FAACODE,,,,,,6
arcgis/CHaviation/Hospital_Heliports/0/FAANUM,FAANUM,,,,FALSE,esriFieldTypeString,FAANUM,,,,,,7
arcgis/CHaviation/Hospital_Heliports/0/AGL_FT,AGL_FT,,,,FALSE,esriFieldTypeInteger,AGL_FT,,,,,,8
arcgis/CHaviation/Hospital_Heliports/0/AGL_M,AGL_M,,,,FALSE,esriFieldTypeDouble,AGL_M,,,,,,9
arcgis/CHaviation/Hospital_Heliports/0/PMTLAT,PMTLAT,,,,FALSE,esriFieldTypeString,PMTLAT,,,,,,10
arcgis/CHaviation/Hospital_Heliports/0/PMTLONG,PMTLONG,,,,FALSE,esriFieldTypeString,PMTLONG,,,,,,11
arcgis/CHaviation/Hospital_Heliports/0/LATDMS,LATDMS,,,,FALSE,esriFieldTypeString,LATDMS,,,,,,12
arcgis/CHaviation/Hospital_Heliports/0/LONGDMS,LONGDMS,,,,FALSE,esriFieldTypeString,LONGDMS,,,,,,13
arcgis/CHaviation/Hospital_Heliports/0/LATDMS_D,LATDMS_D,,,,FALSE,esriFieldTypeDouble,LATDMS_D,,,,,,14
arcgis/CHaviation/Hospital_Heliports/0/LONGDMS_D,LONGDMS_D,,,,FALSE,esriFieldTypeDouble,LONGDMS_D,,,,,,15
arcgis/CHaviation/Hospital_Heliports/0/URL,URL,,,,FALSE,esriFieldTypeString,URL,,,,,,16
arcgis/CHaviation/Hospital_Heliports/0/FILE_NAME,FILE_NAME,,,,FALSE,esriFieldTypeString,FILE_NAME,,,,,,17
arcgis/CHaviation/Hospital_Heliports/0/SHAPE,SHAPE,,,,FALSE,esriFieldTypeGeometry,Shape,,,,,,18
arcgis/CHaviation/Military_Airport/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,False,OBJECTID,False,1
arcgis/CHaviation/Military_Airport/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,True,FACILITY,True,2
arcgis/CHaviation/Military_Airport/0/FACWEB,FACWEB,,,,FALSE,esriFieldTypeString,FACWEB,,,True,FACWEB,True,3
arcgis/CHaviation/Military_Airport/0/AIRPORTID,AIRPORTID,,,,FALSE,esriFieldTypeString,AIRPORTID,,,True,AIRPORTID,True,4
arcgis/CHaviation/Military_Airport/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,True,CITY,True,5
arcgis/CHaviation/Military_Airport/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,True,COUNTY,True,6
arcgis/CHaviation/Military_Airport/0/FNCTNLCLSS,FNCTNLCLSS,,,,FALSE,esriFieldTypeString,FNCTNLCLSS,,,True,FNCTNLCLSS,True,7
arcgis/CHaviation/Military_Airport/0/STATECLASS,STATECLASS,,,,FALSE,esriFieldTypeString,STATECLASS,,,True,STATECLASS,True,8
arcgis/CHaviation/Military_Airport/0/FACUSETYPE,FACUSETYPE,,,,FALSE,esriFieldTypeString,FACUSETYPE,,,True,FACUSETYPE,True,9
arcgis/CHaviation/Military_Airport/0/OWNERSHIP,OWNERSHIP,,,,FALSE,esriFieldTypeString,OWNERSHIP,,,True,OWNERSHIP,True,10
arcgis/CHaviation/Military_Airport/0/OWNER,OWNER,,,,FALSE,esriFieldTypeString,OWNER,,,True,OWNER,True,11
arcgis/CHaviation/Military_Airport/0/FAASITENO,FAASITENO,,,,FALSE,esriFieldTypeString,FAASITENO,,,True,FAASITENO,True,12
arcgis/CHaviation/Military_Airport/0/DISTRICT,DISTRICT,,,,FALSE,esriFieldTypeDouble,DISTRICT,,,True,DISTRICT,True,13
arcgis/CHaviation/Military_Airport/0/ELEVATION,ELEVATION,,,,FALSE,esriFieldTypeDouble,ELEVATION,,,True,ELEVATION,True,14
arcgis/CHaviation/Military_Airport/0/AIRPORTMAS,AIRPORTMAS,,,,FALSE,esriFieldTypeString,AIRPORTMAS,,,True,AIRPORTMAS,True,15
arcgis/CHaviation/Military_Airport/0/ALTLAT,ALTLAT,,,,FALSE,esriFieldTypeString,ALTLAT,,,True,ALTLAT,True,16
arcgis/CHaviation/Military_Airport/0/ALTLONG,ALTLONG,,,,FALSE,esriFieldTypeString,ALTLONG,,,True,ALTLONG,True,17
arcgis/CHaviation/Military_Airport/0/LATITUDE,LATITUDE,,,,FALSE,esriFieldTypeString,LATITUDE,,,True,LATITUDE,True,18
arcgis/CHaviation/Military_Airport/0/LONGITUDE,LONGITUDE,,,,FALSE,esriFieldTypeString,LONGITUDE,,,True,LONGITUDE,True,19
arcgis/CHaviation/Military_Airport/0/LATDD,LATDD,,,,FALSE,esriFieldTypeDouble,LATDD,,,True,LATDD,True,20
arcgis/CHaviation/Military_Airport/0/LONGDD,LONGDD,,,,FALSE,esriFieldTypeDouble,LONGDD,,,True,LONGDD,True,21
